"","Cnt","uni","bi","tri"
"0",0,1.27067669172932,0.000122268142651062,4.42208896050278e-09
"1",1,0.272936676952497,0.184636529702779,0.0818655359965425
"2",2,1.37441420949239,1.07215456742115,0.847243999310914
"3",3,2.31715783253871,1.99533075695217,1.76462722086469
"4",4,3.29406850459482,2.95869540421545,2.77656557611783
"5",5,4.58343157217876,4.02954428447644,3.71190892883069
"6",6,1038,2709,1201
